기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-02-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
2026-02-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.38,0.4,-5.0,전년比 상승 금지,양호
2026-02-01,⑨ 진단,QC 진행률(%) · 군포공장,0.0,0,,,
2026-02-01,⑧ 공장,QC 부적합률(%) · 부산공장,,,,전년比 상승 금지,
2026-02-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,,,,전년比 상승 금지,
2026-02-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.46,0.48,-4.2,전년比 상승 금지,양호
2026-02-01,⑨ 진단,QC 진행률(%) · 부산공장,0.0,0,,,
2026-02-01,⑧ 공장,QC 부적합률(%) · 성수공장,,,,전년比 상승 금지,
2026-02-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,,,,전년比 상승 금지,
2026-02-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.54,0.56,-3.6,전년比 상승 금지,양호
2026-02-01,⑨ 진단,QC 진행률(%) · 성수공장,0.0,0,,,
2026-02-01,⑨ 진단,QC 진행률(%),0,0,,,
2026-02-01,⑨ 진단,스파팅 진행률(%),0,0,,,
2026-02-01,⑨ 진단,스파팅 결과 미입력률(%),,,,,
2026-02-01,⑨ 진단,스파팅 재세탁율(%),3.45,3.3,4.5,,
2026-02-01,⑨ 진단,출고 의류 수(건),453534,426611,6.3,,
2026-02-01,⑨ 진단,안심케어 인입(건),1880,995,88.9,,
2026-02-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-02-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-03-01,⑤ 품질,QC 부적합률(%),,,,전년比 상승 금지,
2026-03-01,⑤ 품질,스파팅 못지움율(%),,,,전년比 상승 금지,
2026-03-01,⑤ 품질,안심케어 인입률(%),0.44,0.46,-4.3,전년比 상승 금지,양호
2026-03-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.4,0.42,-4.8,전년比 상승 금지,양호
2026-03-01,⑨ 진단,QC 진행률(%) · 군포공장,2.58,0,,,
2026-03-01,⑧ 공장,QC 부적합률(%) · 부산공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.48,0.5,-4.0,전년比 상승 금지,양호
2026-03-01,⑨ 진단,QC 진행률(%) · 부산공장,4.3,0,,,
2026-03-01,⑧ 공장,QC 부적합률(%) · 성수공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,,,,전년比 상승 금지,
2026-03-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.56,0.58,-3.4,전년比 상승 금지,양호
2026-03-01,⑨ 진단,QC 진행률(%) · 성수공장,6.02,0,,,
2026-03-01,⑨ 진단,QC 진행률(%),4.3,0,,,
2026-03-01,⑨ 진단,스파팅 진행률(%),0,0,,,
2026-03-01,⑨ 진단,스파팅 결과 미입력률(%),100,,,,
2026-03-01,⑨ 진단,스파팅 재세탁율(%),3.5,3.3,6.1,,
2026-03-01,⑨ 진단,출고 의류 수(건),455034,428011,6.3,,
2026-03-01,⑨ 진단,안심케어 인입(건),1970,1075,83.3,,
2026-03-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-03-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-04-01,⑤ 품질,QC 부적합률(%),,,,전년比 상승 금지,
2026-04-01,⑤ 품질,스파팅 못지움율(%),,,,전년比 상승 금지,
2026-04-01,⑤ 품질,안심케어 인입률(%),0.46,0.48,-4.2,전년比 상승 금지,양호
2026-04-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
2026-04-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
2026-04-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.42,0.44,-4.5,전년比 상승 금지,양호
2026-04-01,⑨ 진단,QC 진행률(%) · 군포공장,2.04,0,,,
2026-04-01,⑧ 공장,QC 부적합률(%) · 부산공장,,,,전년比 상승 금지,
2026-04-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,,,,전년比 상승 금지,
2026-04-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.5,0.52,-3.8,전년比 상승 금지,양호
2026-04-01,⑨ 진단,QC 진행률(%) · 부산공장,3.4,0,,,
2026-04-01,⑧ 공장,QC 부적합률(%) · 성수공장,,,,전년比 상승 금지,
